,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,14.9,14.9,0,16.5,16.5,0,17.7,17.7,0,19.7,19.7,0,21.7,21.7,0,23.4,23.4,0,24.5,24.5,0,24.7,24.7,0,23.6,23.6,0,22.8,22.8,0,23.3,23.3,0,22.9,22.9,0,23.9,23.9,0,25.2,25.2,0,26,26,0,26.5,26.5,0,26.4,26.4,0,26,26
Nigeria,0,9.6,9.6,0,11,11,0,12.3,12.3,0,13.8,13.8,0,15.3,15.3,0,16.9,16.9,0,18.9,18.9,0,20.9,20.9,0,22.9,22.9,0,25.6,25.6,0,28.9,28.9,0,31.3,31.3,0,32.5,32.5,0,33.5,33.5,0,34,34,0,34.9,34.9,0,35.2,35.2,0,35.7,35.7
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,6.7,6.7,0,7.1,7.1,0,4.4,4.4,0,9.6,9.6,0,11.1,11.1,0,7.4,7.4,0,5.1,5.1,0,6.2,6.2,0,10.8,10.8,0,6.9,6.9,0,7.6,7.6,0,9.1,9.1,0,8.6,8.6,0,12.3,12.3,0,8.9,8.9,0,8.1,8.1,0,10.4,10.4,0,10.9,10.9
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,1.7,1.7,0,1.8,1.8,0,1.9,1.9,0,2,2,0,2.2,2.2,0,2.4,2.4,0,2.6,2.6,0,2.8,2.8,0,3,3,0,3.3,3.3,0,3.7,3.7,0,4.3,4.3,0,5,5,0,6.1,6.1,0,7.4,7.4,0,8.5,8.5,0,9.9,9.9,0,10.5,10.5
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.3,0.3,0,0.9,0.9,0,0.6,0.6,0,1.3,1.3,0,0.8,0.8,0,0.2,0.2,0,1.5,1.5,0,8.5,8.5,0,15.7,15.7,0,15.7,15.7,0,16.2,16.2,0,15.5,15.5,0,16.2,16.2
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,1.9,1.9,0,2,2,0,2.1,2.1,0,2.2,2.2,0,2.2,2.2,0,2.5,2.5,0,2.7,2.7,0,3,3,0,3.2,3.2,0,3.5,3.5,0,3.8,3.8,0,4.2,4.2,0,4.6,4.6,0,5.2,5.2,0,6.1,6.1,0,7.1,7.1,0,8.1,8.1,0,8.7,8.7
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,24.4,24.4,0,25.3,25.3,0,26.9,26.9,0,29.6,29.6,0,34.5,34.5,0,41.5,41.5,0,49.2,49.2,0,54.7,54.7,0,60,60,0,62.7,62.7,0,62.7,62.7,0,61.3,61.3,0,59.9,59.9,0,58.1,58.1,0,56.1,56.1,0,53.9,53.9,0,51.3,51.3,0,48.6,48.6
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,1.3,1.3,0,1.1,1.1,0,0.4,0.4,0,0.2,0.2,0,0.5,0.5,0,0.4,0.4,0,0.5,0.5,0,0.7,0.7,0,0.5,0.5,0,0.5,0.5,0,0.8,0.8,0,1.8,1.8,0,1.9,1.9,0,2.3,2.3,0,1.7,1.7,0,2.2,2.2,0,2.3,2.3,0,2,2
Somalia,0,0.7,0.7,0,0.7,0.7,0,0.6,0.6,0,0.5,0.5,0,0.5,0.5,0,0.4,0.4,0,0.4,0.4,0,0.5,0.5,0,0.7,0.7,0,1.2,1.2,0,2.3,2.3,0,3,3,0,3.6,3.6,0,3,3,0,3,3,0,3.1,3.1,0,3.1,3.1,0,3,3
South Africa,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
South Sudan,0,6.2,6.2,0,6,6,0,5.7,5.7,0,5.4,5.4,0,5.2,5.2,0,5.4,5.4,0,6.1,6.1,0,6.9,6.9,0,7.9,7.9,0,9.1,9.1,0,10,10,0,11.3,11.3,0,12.7,12.7,0,14.5,14.5,0,16.1,16.1,0,17.9,17.9,0,19.6,19.6,0,20.8,20.8
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0.8,0.8,0,0.8,0.8,0,0.8,0.8,0,0.8,0.8,0,0.8,0.8,0,0.7,0.7,0,0.7,0.7,0,0.8,0.8,0,0.8,0.8,0,0.9,0.9,0,1,1,0,1.2,1.2,0,1.7,1.7,0,1.7,1.7,0,1.7,1.7,0,1.8,1.8,0,1.9,1.9,0,2,2
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.4,0.4,0,0.3,0.3,0,0.6,0.6,0,0.5,0.5
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.2,0.2
Republic of North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1.7,1.7,0,1.7,1.7,0,2.7,2.7,0,2.1,2.1,0,2.4,2.4,0,2.2,2.2,0,3.8,3.8,0,0.6,0.6,0,1.3,1.3,0,1.6,1.6,0,1.6,1.6
Togo,0,16.6,16.6,0,17,17,0,16.8,16.8,0,15.8,15.8,0,15.1,15.1,0,15.3,15.3,0,16.1,16.1,0,17.4,17.4,0,19.3,19.3,0,21.4,21.4,0,23.6,23.6,0,25.3,25.3,0,26.2,26.2,0,26.5,26.5,0,26.5,26.5,0,26.6,26.6,0,27.3,27.3,0,28.5,28.5
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,5,5,0,5,5,0,5.1,5.1,0,5.4,5.4,0,5.8,5.8,0,7,7,0,8.9,8.9,0,11.2,11.2,0,13.9,13.9,0,16.6,16.6,0,18.9,18.9,0,21.1,21.1,0,23.4,23.4,0,25,25,0,26.2,26.2,0,29.1,29.1,0,32.1,32.1,0,35.4,35.4
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Republic of Tanzania,0,3.3,3.3,0,3.5,3.5,0,3.6,3.6,0,3.7,3.7,0,3.8,3.8,0,3.6,3.6,0,3.9,3.9,0,4.3,4.3,0,4.7,4.7,0,5.1,5.1,0,5.8,5.8,0,6.8,6.8,0,7.9,7.9,0,9.3,9.3,0,10.9,10.9,0,12.1,12.1,0,13.9,13.9,0,15.2,15.2
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.4,0.4,0,0.6,0.6,0,0.9,0.9,0,1.1,1.1,0,2.1,2.1,0,2.1,2.1,0,1.6,1.6,0,1.9,1.9,0,3.3,3.3,0,5.2,5.2,0,3.8,3.8,0,1.3,1.3,0,2.1,2.1
Venezuela (Bolivarian Republic of),0,0.2,0.2,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1
Yemen,0,0.6,0.6,0,0.5,0.5,0,0.9,0.9,0,1.1,1.1,0,0.6,0.6,0,0.8,0.8,0,0.7,0.7,0,1.1,1.1,0,0.6,0.6,0,0.5,0.5,0,0.8,0.8,0,0.6,0.6,0,0.5,0.5,0,0.5,0.5,0,0.6,0.6,0,0.7,0.7,0,0.6,0.6,0,0.6,0.6
Zambia,0,4.7,4.7,0,5,5,0,5.2,5.2,0,5.4,5.4,0,5.1,5.1,0,5.1,5.1,0,5.1,5.1,0,5.1,5.1,0,5.3,5.3,0,5.6,5.6,0,6.2,6.2,0,7.2,7.2,0,8.7,8.7,0,10.5,10.5,0,12.2,12.2,0,13.7,13.7,0,14.8,14.8,0,15.2,15.2
Zimbabwe,0,2.2,2.2,0,1.1,1.1,0,1.9,1.9,0,1.9,1.9,0,1.4,1.4,0,0.9,0.9,0,1.2,1.2,0,2.1,2.1,0,1.6,1.6,0,1.3,1.3,0,4.3,4.3,0,2.3,2.3,0,2.3,2.3,0,2.3,2.3,0,2.4,2.4,0,2.4,2.4,0,2.4,2.4,0,2.4,2.4